,Coprobacter_fastidiosus,Cupriavidus_metallidurans,Acinetobacter_junii,Lactobacillus_mucosae,Corynebacterium_propinquum
S-adenosylhomocysteine (SAH),0.6531197173373011,0.7751128895145849,-0.6386000317870606,0.7066073269405473,0.680089553090942
stearate (18:0),0.407687363102173,0.5542851050745594,-0.5181896840570405,0.4055384001406667,0.7363820395840345
spermine,0.38190696741813746,0.5018694655702501,-0.5678833835454847,0.5995568203436393,0.6028864035059404
adenosine,0.6825668534408088,0.7670976670803681,-0.7557614217528447,0.6166034439700424,0.8885979879098765
erucate (22:1n9),0.6280954890956332,0.7454093110865904,-0.8668656371393928,0.721173945513278,0.9406112668478849
citrate,0.6517361624470932,0.8015166757210366,-0.682584333710209,0.6483915293874306,0.8591778874656348
butyrylcarnitine (C4),0.7835707071444215,0.8888058818694081,-0.8093628196551497,0.8100379463848512,0.8197968128617054
propionylcarnitine (C3),0.35359461392096175,0.4297877916104729,-0.45807350965771665,0.37497926757416256,0.43903554382877485
eicosenoate (20:1),0.5488898745397267,0.6755028850404453,-0.815720529710091,0.6271468055234188,0.8956373621994937
oleate/vaccenate (18:1),0.5122666046810377,0.5667772494277482,-0.6150203955380291,0.5157884554057685,0.5516467303767183
