,discarded,continuous,sigmoid
0,ENSG00000125931,ENSG00000278576,ENSG00000125998
1,ENSG00000134504,ENSG00000145824,ENSG00000111674
2,ENSG00000104059,ENSG00000183145,ENSG00000184368
3,ENSG00000107159,ENSG00000128610,ENSG00000250829
4,ENSG00000113889,ENSG00000170122,ENSG00000140519
5,ENSG00000198732,ENSG00000166869,ENSG00000180801
6,ENSG00000164070,ENSG00000230563,ENSG00000107105
7,ENSG00000185915,ENSG00000043591,ENSG00000189280
8,,ENSG00000007216,
9,,ENSG00000109321,
10,,ENSG00000229950,
11,,ENSG00000168447,
12,,ENSG00000170827,
13,,ENSG00000137198,
14,,ENSG00000254503,
15,,ENSG00000257671,
16,,ENSG00000198807,
17,,ENSG00000174521,
18,,ENSG00000111860,
19,,ENSG00000187193,
20,,ENSG00000101470,
21,,ENSG00000173080,
22,,ENSG00000146521,
23,,ENSG00000108244,
24,,ENSG00000091138,
25,,ENSG00000132199,
26,,ENSG00000131015,
27,,ENSG00000106565,
28,,ENSG00000172831,
29,,ENSG00000144355,
30,,ENSG00000104756,
31,,ENSG00000279982,
32,,ENSG00000002933,
33,,ENSG00000165828,
34,,ENSG00000224511,
35,,ENSG00000101473,
36,,ENSG00000033170,
37,,ENSG00000036672,
38,,ENSG00000102445,
39,,ENSG00000142959,
40,,ENSG00000213937,
41,,ENSG00000149289,
42,,ENSG00000112208,
43,,ENSG00000188338,
44,,ENSG00000171291,
45,,ENSG00000268926,
46,,ENSG00000175329,
47,,ENSG00000269155,
48,,ENSG00000101464,
49,,ENSG00000206838,
50,,ENSG00000258483,
51,,ENSG00000133943,
52,,ENSG00000272549,
53,,ENSG00000280079,
54,,ENSG00000172782,
55,,ENSG00000153303,
56,,ENSG00000187017,
57,,ENSG00000186115,
58,,ENSG00000205277,
59,,ENSG00000136943,
60,,ENSG00000108576,
61,,ENSG00000101850,
62,,ENSG00000111678,
63,,ENSG00000181392,
64,,ENSG00000015413,
65,,ENSG00000061656,
66,,ENSG00000142609,
67,,ENSG00000128683,
68,,ENSG00000131620,
69,,ENSG00000205181,
70,,ENSG00000100342,
71,,ENSG00000148734,
72,,ENSG00000139540,
73,,ENSG00000257512,
74,,ENSG00000126003,
75,,ENSG00000236833,
76,,ENSG00000164920,
77,,ENSG00000103485,
78,,ENSG00000168631,
79,,ENSG00000262188,
80,,ENSG00000100593,
81,,ENSG00000170921,
82,,ENSG00000127585,
83,,ENSG00000186094,
84,,ENSG00000154310,
85,,ENSG00000181652,
86,,ENSG00000138100,
87,,ENSG00000171811,
88,,ENSG00000116711,
89,,ENSG00000182240,
90,,ENSG00000109794,
91,,ENSG00000137203,
92,,ENSG00000198133,
93,,ENSG00000265943,
94,,ENSG00000178015,
95,,ENSG00000257176,
96,,ENSG00000114113,
97,,ENSG00000183831,
98,,ENSG00000229314,
99,,ENSG00000276476,
100,,ENSG00000197408,
101,,ENSG00000057593,
102,,ENSG00000163689,
103,,ENSG00000261801,
104,,ENSG00000251493,
105,,ENSG00000163501,
106,,ENSG00000089101,
107,,ENSG00000214192,
108,,ENSG00000162946,
